LimbString,roll,pitch,yaw,x,y,z,Position Name
,,,,,,,
-,-,-,-,-,-,-,pose_default
,,,,,,,
L_foot_pad,0,-10,0,-0.04,0,0,pose_shift_weight_toright
R_foot_pad,0,-10,0,-0.02,0,0,pose_shift_weight_toright
,,,,,,,
R_forearm,60,0,0,0,0,0,pose_lift_left_foot
L_foot_pad,-5,10,0,0.02,0,0.03,pose_lift_left_foot
R_foot_pad,0,-5,0,0.02,-0.0075,0,pose_lift_left_foot
,,,,,,,
L_foot_pad,0,0,0,0,0.03,0,pose_left_foot_advance_forward
,,,,,,,
R_forearm,-60,0,0,0,0,0,pose_left_foot_advanced_down
L_foot_pad,5,-10,0,0,0,-0.03,pose_left_foot_advanced_down
,,,,,,,
L_foot_pad,0,10,0,0.06,-0.015,0,pose_left_foot_advanced_shiftweighttoleft
R_foot_pad,0,15,0,0.04,-0.015,0,pose_left_foot_advanced_shiftweighttoleft
,,,,,,,
-,-,-,-,-,-,-,pose_default
,,,,,,,continue
R_foot_pad,0,14,0,0.04,0,0,pose_shift_weight_toleft
L_foot_pad,0,14,0,0.02,0,0,pose_shift_weight_toleft
,,,,,,,
L_forearm,60,0,0,0,0,0,pose_lift_right_foot
R_foot_pad,-5,-14,0,-0.02,0,0.03,pose_lift_right_foot
L_foot_pad,0,5,0,-0.02,-0.0075,0,pose_lift_right_foot
,,,,,,,
R_foot_pad,0,0,0,0,0.03,0,pose_right_foot_advance_forward
,,,,,,,
L_forearm,-60,0,0,0,0,0,pose_right_foot_advanced_down
R_foot_pad,5,10,0,0,0,-0.03,pose_right_foot_advanced_down
,,,,,,,
R_foot_pad,0,-10,0,-0.06,-0.015,0,pose_right_foot_advanced_shiftweighttoright
L_foot_pad,0,-19,0,-0.04,-0.015,0,pose_right_foot_advanced_shiftweighttoright
,,,,,,,
,,,,,,,finished
